"Date" "High" "Low" "Last" "Bid" "Ask" "Volume" "VWAP"
"2056" 2019-12-25 7431.1 7156 7251.52 7247.45 7253.68 4194.58980335 7304.02
"2057" 2019-12-26 7266.81 7110.73 7195.79 7192.23 7195.8 1504.52751296 7194.67
"2058" 2019-12-27 7432 7150 7195.17 7187.84 7195.14 3116.95720561 7259.99
"2059" 2019-12-28 7255.37 7052 7247.86 7247.54 7247.86 4034.640012 7177.3
"2060" 2019-12-29 7349.65 7231 7297.43 7294.98 7300.78 1569.55578647 7298.25
"2061" 2019-12-30 7524.46 7274.43 7385.54 7379.25 7386.17 2583.71908193 7399.88
"2062" 2019-12-31 7384.9 7199 7222.74 7215 7221.1 3723.03148247 7281.12
"2063" 2020-01-01 7302.35 7112.55 7168.36 7164.4 7170.96 2638.57317585 7194.68
"2064" 2020-01-02 7237.35 7150 7178.68 7172.68 7178.42 1119.10969318 7195.25
"2065" 2020-01-03 7184.94 6900 6945.7 6944.67 6949.09 4003.77829762 7029.56
"2066" 2020-01-04 7402.31 6853.53 7332.59 7332.59 7338.91 8041.85157514 7231.29
"2067" 2020-01-05 7396.1 7256.03 7344.48 7344.48 7350.67 3256.54452249 7315.74
"2068" 2020-01-06 7495 7310 7356.7 7352.12 7356.7 2707.27385549 7427.57
"2069" 2020-01-07 7817 7342.46 7762.74 7767.75 7773.52 6728.28277831 7601.99
"2070" 2020-01-08 8220 7697.03 8159.01 8151.79 8156.99 12158.32281238 7925.5
"2071" 2020-01-09 8463.57 7872.09 8048.94 8043.07 8048.94 11913.23761267 8220.23
"2072" 2020-01-10 8045.78 7737.97 7806.78 7808.68 7813.71 5957.23910903 7892.62
"2073" 2020-01-11 8200.1 7667 8200.1 8197.51 8201.19 9004.04359998 7943.24
"2074" 2020-01-12 8286 8000 8016.22 8013.04 8017.22 3784.27197049 8122.2
"2075" 2020-01-13 8190 7960 8180.76 8180.75 8184 2056.08675369 8108.51
"2076" 2020-01-14 8196.81 8039 8110.14 8105.35 8111.91 4011.45188382 8100.38
"2077" 2020-01-15 8895 8105.15 8808.3 8800.99 8811.34 17027.24101217 8596.93
"2078" 2020-01-16 8903.2 8555 8810.62 8808.88 8814.71 8589.21851096 8760.48
